Period,Return
2021-01,0.021400000000000002
2021-02,0.013300000000000001
2021-03,0.1268
2021-04,0.009300000000000001
2021-05,0.0070999999999999995
2021-06,-0.031400000000000004
2021-07,0.0305
2021-08,0.0168
2021-09,0.0262
2021-10,-0.013500000000000002
2021-11,0.009399999999999999
2021-12,0.005699999999999999
2022-01,0.0031
2022-02,0.0647
2022-03,0.066
2022-04,0.09359999999999999
2022-05,0.07339999999999999
2022-06,0.0363
2022-07,-0.001
2022-08,0.0736
2022-09,0.028900000000000002
2022-10,0.06509999999999999
2022-11,0.034
2022-12,0.0663
2023-01,0.0415
2023-02,0.0143
2023-03,0.0313
2023-04,0.0184
2023-05,0.023799999999999998
2023-06,0.0115
2023-07,0.0453
2023-08,0.042800000000000005
2023-09,-0.011399999999999999
2023-10,0.0204
2023-11,0.0412
2023-12,0.0239
2024-01,-0.0036
2024-02,-0.022799999999999997
2024-03,0.005600000000000001
2024-04,0.0311
2024-05,0.008
2024-06,-0.0009
2024-07,0.0377
2024-08,0.0273
2024-09,-0.006999999999999999
2024-10,0.006500000000000001
2024-11,0.0452
2024-12,0.057800000000000004
2025-01,0.039599999999999996
2025-02,0.0215
2025-03,0.0275
2025-04,0.0974
2025-05,0.0172
2025-06,0.0037
2025-07,0.0377
2025-08,0.0199
2025-09,-0.0106
2025-10,0.016399999999999998
2025-11,0.0366
2025-12,0.0862
2026-01,0.0213
2026-02,-0.0215
2026-03,0.013500000000000002
2026-04,0.009899999999999999
