Period,Return
2023-03,0.0141
2023-04,0.0762
2023-05,0.0304
2023-06,0.0584
2023-07,0.052300000000000006
2023-08,0.1105
2023-09,0.1618
2023-10,0.0436
2023-11,0.08960000000000001
2023-12,0.024900000000000002
2024-01,0.050499999999999996
2024-02,0.0403
2024-03,0.0226
2024-04,0.0151
2024-05,0.031200000000000002
2024-06,0.0524
2024-07,0.055
2024-08,0.0373
2024-09,0.0622
2024-10,0.0817
2024-11,0.076
2024-12,0.0785
2025-01,0.052300000000000006
2025-02,0.045899999999999996
2025-03,0.10339999999999999
2025-04,0.031400000000000004
2025-05,0.0398
2025-06,0.0341
2025-07,0.0672
2025-08,0.048
2025-09,0.0679
2025-10,-0.0043
2025-11,0.016
2025-12,0.0382
2026-01,0.0318
