Period,Return
2023-09,0.006
2023-10,0.009000000000000001
2023-11,0.013999999999999999
2023-12,0.027000000000000003
2024-01,0.04
2024-02,0.001
2024-03,-0.008
2024-04,0.009000000000000001
2024-05,0.028999999999999998
2024-06,0.081
2024-07,-0.071
2024-08,0.027999999999999997
2024-09,0.026000000000000002
2024-10,-0.017
2024-11,-0.022000000000000002
2024-12,0.006999999999999999
2025-01,0.08900000000000001
2025-02,-0.022000000000000002
2025-03,-0.039
2025-04,0.051
2025-05,0.035
2025-06,0.035
2025-07,0.019
2025-08,0.0
2025-09,0.068
2025-10,0.040999999999999995
2025-11,0.005
2025-12,0.006999999999999999
2026-01,0.11800000000000001
2026-02,0.067
2026-03,-0.092
2026-04,-0.004
2026-05,0.021
