Period,Return
2011-03,0.019299999999999998
2011-04,0.0129
2011-05,0.0073
2011-06,-0.0045000000000000005
2011-07,0.0287
2011-08,-0.0317
2011-09,-0.0401
2011-10,-0.015300000000000001
2011-11,-0.0336
2011-12,0.0079
2012-01,0.0381
2012-02,-0.043
2012-03,-0.0032
2012-04,-0.0177
2012-05,0.006500000000000001
2012-06,0.0194
2012-07,0.0484
2012-08,0.012199999999999999
2012-09,0.0128
2012-10,0.0126
2012-11,-0.0014000000000000002
2012-12,0.04190000000000001
2013-01,0.0121
2013-02,-0.0495
2013-03,0.0332
2013-04,0.016399999999999998
2013-05,0.014499999999999999
2013-06,0.0077
2013-07,0.0176
2013-08,0.0105
2013-09,0.0467
2013-10,0.0365
2013-11,0.028300000000000002
2013-12,0.024300000000000002
2014-01,0.0189
2014-02,0.0444
2014-03,-0.0033
2014-04,-0.0294
2014-05,0.0227
2014-06,0.0169
2014-07,0.0027
2014-08,0.0095
2014-09,0.0541
2014-10,-0.034300000000000004
2014-11,0.0147
2014-12,0.0206
2015-01,-0.015600000000000001
2015-02,0.012199999999999999
2015-03,0.0092
2015-04,0.0212
2015-05,0.0242
2015-06,0.0059
2015-07,0.0063
2015-08,0.0009
2015-09,-0.0118
2015-10,-0.0037
2015-11,0.0053
2015-12,0.009399999999999999
2016-01,-0.0048
2016-02,-0.030899999999999997
2016-03,-0.0124
2016-04,0.0070999999999999995
2016-05,0.0063
2016-06,-0.0029
2016-07,0.0070999999999999995
2016-08,0.0226
2016-09,0.013300000000000001
2016-10,-0.0032
2016-11,-0.010700000000000001
2016-12,0.0086
2017-01,0.0218
2017-02,-0.0037
2017-03,0.0072
2017-04,-0.009000000000000001
2017-05,0.005600000000000001
2017-06,-0.0128
2017-07,-0.0008
2017-08,0.0271
2017-09,0.0046
2017-10,0.009000000000000001
2017-11,-0.0097
2017-12,0.0288
2018-01,0.0074
2018-02,-0.025699999999999997
2018-03,-0.0066
2018-04,0.0048
2018-05,-0.0069
2018-06,0.0067
2018-07,0.015600000000000001
2018-08,0.0011
2018-09,0.0143
2018-10,-0.0291
2018-11,-0.0559
2018-12,0.0086
2019-01,0.035
2019-02,0.0012
2019-03,0.0072
2019-04,0.0355
2019-05,-0.0017000000000000001
2019-06,0.0001
2019-07,0.0229
2019-08,0.0027
2019-09,-0.013500000000000002
2019-10,-0.0039000000000000003
2019-11,0.005699999999999999
2019-12,0.0223
2020-01,0.0
2020-02,0.011699999999999999
2020-03,0.0362
2020-04,0.0321
2020-05,0.038599999999999995
2020-06,0.024
2020-07,0.0452
2020-08,0.025699999999999997
2020-09,-0.0006
2020-10,0.0174
2020-11,0.0374
2020-12,0.0296
2021-01,-0.0045000000000000005
2021-02,0.0274
2021-03,-0.006500000000000001
2021-04,0.0096
2021-05,-0.0023
2021-06,-0.0011
2021-07,-0.0017000000000000001
2021-08,0.0077
2021-09,0.0298
2021-10,-0.004699999999999999
2021-11,0.0147
2021-12,0.008100000000000001
2022-01,0.0246
2022-02,0.008100000000000001
2022-03,0.0069
2022-04,0.0269
2022-05,-0.0208
2022-06,0.0132
2022-07,-0.0033
2022-08,0.0062
2022-09,0.0169
2022-10,-0.0011
2022-11,-0.0128
2022-12,0.0341
2023-01,0.005699999999999999
2023-02,-0.0043
2023-03,0.004699999999999999
2023-04,0.0086
2023-05,0.0104
2023-06,-0.0102
2023-07,0.0002
2023-08,0.0070999999999999995
2023-09,0.0037
2023-10,-0.0002
2023-11,-0.0097
2023-12,0.0106
2024-01,0.0105
2024-02,-0.002
2024-03,0.0175
2024-04,0.0078000000000000005
2024-05,0.0128
2024-06,0.0026
2024-07,-0.0025
2024-08,0.0059
2024-09,0.0001
2024-10,0.012
2024-11,0.0424
2024-12,0.0191
2025-01,0.0296
2025-02,0.0106
2025-03,-0.0174
2025-04,0.0083
2025-05,0.0146
2025-06,0.0232
2025-07,0.0054
2025-08,0.0072
2025-09,0.0113
2025-10,0.0236
2025-11,0.024300000000000002
2025-12,0.0108
2026-01,0.0077
2026-02,-0.0042
2026-03,-0.043
2026-04,0.030899999999999997
