Period,Return
2022-07,0.0192
2022-08,0.0040999999999999995
2022-09,0.0163
2022-10,0.0005
2022-11,0.019299999999999998
2022-12,0.015
2023-01,0.0149
2023-02,0.014199999999999999
2023-03,-0.0064
2023-04,-0.0016
2023-05,-0.0246
2023-06,0.039900000000000005
2023-07,-0.005
2023-08,0.0181
2023-09,0.030299999999999997
2023-10,0.0177
2023-11,0.015700000000000002
2023-12,0.013999999999999999
2024-01,0.0527
2024-02,0.004699999999999999
2024-03,0.0281
2024-04,0.0161
2024-05,-0.0067
2024-06,0.0092
2024-07,0.0011
2024-08,0.0137
2024-09,0.031200000000000002
2024-10,-0.030299999999999997
2024-11,0.0055000000000000005
2024-12,0.0197
2025-01,0.013000000000000001
2025-02,0.0039000000000000003
2025-03,0.034300000000000004
2025-04,0.0233
2025-05,0.022799999999999997
2025-06,-0.0078000000000000005
2025-07,-0.019799999999999998
2025-08,0.0271
2025-09,0.011200000000000002
2025-10,-0.0068000000000000005
2025-11,0.0034999999999999996
2025-12,0.0331
2026-01,0.0086
2026-02,0.0183
2026-03,0.015700000000000002
2026-04,0.009399999999999999
