Period,Return
2014-07,-0.0028000000000000004
2014-08,0.0028000000000000004
2014-09,-0.0034000000000000002
2014-10,-0.0049
2014-11,0.01
2014-12,0.0134
2015-01,0.008100000000000001
2015-02,0.0154
2015-03,0.0146
2015-04,0.0042
2015-05,0.0175
2015-06,0.0006
2015-07,0.0052
2015-08,0.0075
2015-09,0.0067
2015-10,0.0034000000000000002
2015-11,0.0089
2015-12,0.005
2016-01,-0.0053
2016-02,0.0034000000000000002
2016-03,-0.0121
2016-04,0.005600000000000001
2016-05,0.018000000000000002
2016-06,-0.0015
2016-07,0.0131
2016-08,0.0039000000000000003
2016-09,0.0127
2016-10,-0.0014000000000000002
2016-11,-0.0005
2016-12,0.0023
2017-01,0.0163
2017-02,-0.005
2017-03,0.013600000000000001
2017-04,0.0066
2017-05,-0.005600000000000001
2017-06,0.008100000000000001
2017-07,0.0089
2017-08,0.0346
2017-09,0.0175
2017-10,0.0196
2017-11,0.004699999999999999
2017-12,0.031
2018-01,0.0388
2018-02,-0.001
2018-03,0.0070999999999999995
2018-04,0.0096
2018-05,0.012
2018-06,0.0063
2018-07,-0.0039000000000000003
2018-08,0.0051
2018-09,0.0092
2018-10,-0.0118
2018-11,-0.0124
2018-12,0.001
2019-01,0.013999999999999999
2019-02,0.0206
2019-03,0.008
2019-04,0.0139
2019-05,0.0023
2019-06,0.004699999999999999
2019-07,0.0028000000000000004
2019-08,0.0011
2019-09,-0.0085
2019-10,0.011699999999999999
2019-11,0.015600000000000001
2019-12,0.0265
2020-01,0.013999999999999999
2020-02,0.0083
2020-03,-0.004
2020-04,0.022799999999999997
2020-05,0.021400000000000002
2020-06,0.0262
2020-07,0.0131
2020-08,0.0092
2020-09,0.0085
2020-10,0.0044
2020-11,0.047400000000000005
2020-12,0.0576
2021-01,0.0163
2021-02,0.0347
2021-03,-0.012199999999999999
2021-04,0.0154
2021-05,0.0077
2021-06,0.0066
2021-07,-0.003
2021-08,0.0111
2021-09,0.0176
2021-10,0.015
2021-11,0.0022
2021-12,-0.0023
2022-01,-0.013300000000000001
2022-02,0.0104
2022-03,-0.0066
2022-04,0.006500000000000001
2022-05,0.0049
2022-06,-0.004
2022-07,-0.0115
2022-08,0.0008
2022-09,-0.0028000000000000004
2022-10,0.0066
2022-11,0.0045000000000000005
2022-12,0.0176
2023-01,0.0078000000000000005
2023-02,0.0004
2023-03,0.0052
2023-04,0.0072
2023-05,0.0053
2023-06,0.0006
2023-07,0.0027
2023-08,0.011699999999999999
2023-09,0.0132
2023-10,-0.011899999999999999
2023-11,0.0101
2023-12,0.0131
2024-01,0.0199
2024-02,0.002
2024-03,0.0070999999999999995
2024-04,0.0034999999999999996
2024-05,0.0019
2024-06,0.0003
2024-07,0.0001
2024-08,-0.0007000000000000001
2024-09,0.0021
2024-10,0.0104
2024-11,0.0129
2024-12,0.0088
2025-01,0.0086
2025-02,0.0109
2025-03,-0.0146
2025-04,0.0079
2025-05,0.0223
2025-06,0.0226
2025-07,0.023700000000000002
2025-08,0.014199999999999999
2025-09,0.0275
2025-10,0.0248
2025-11,0.0045000000000000005
2025-12,0.016200000000000003
2026-01,0.0137
2026-02,0.0096
2026-03,-0.0196
2026-04,0.0322
2026-05,0.006999999999999999
