Period,Return
2020-10,-0.032
2020-11,0.141
2020-12,0.09699999999999999
2021-01,0.054000000000000006
2021-02,0.14
2021-03,0.106
2021-04,0.068
2021-05,0.040999999999999995
2021-06,0.036000000000000004
2021-07,-0.057999999999999996
2021-08,0.054000000000000006
2021-09,0.024
2021-10,0.08900000000000001
2021-11,-0.043
2021-12,0.009000000000000001
2022-01,0.001
2022-02,0.006
2022-03,0.069
2022-04,-0.005
2022-05,0.005
2022-06,-0.102
2022-07,0.047
2022-08,0.064
2022-09,-0.07400000000000001
2022-10,0.051
2022-11,-0.002
2022-12,-0.062
2023-01,0.066
2023-02,0.021
2023-03,-0.068
2023-04,-0.032
2023-05,-0.047
2023-06,0.107
2023-07,0.06
2023-08,-0.013000000000000001
2023-09,-0.016
2023-10,-0.08199999999999999
2023-11,0.079
2023-12,0.10300000000000001
2024-01,0.01
2024-02,0.05
2024-03,0.013000000000000001
2024-04,-0.048
2024-05,0.079
2024-06,0.015
2024-07,0.036000000000000004
2024-08,-0.015
2024-09,0.085
2024-10,-0.002
2024-11,0.047
2024-12,-0.019
2025-01,0.017
2025-02,-0.024
2025-03,-0.154
2025-04,-0.034
2025-05,0.14400000000000002
2025-06,0.079
2025-07,0.038
2025-08,-0.009000000000000001
2025-09,0.047
2025-10,0.034
2025-11,-0.062
2025-12,0.001
2026-01,0.062
2026-02,0.044000000000000004
2026-03,-0.055999999999999994
2026-04,0.212
