Period,Return
2006-07,0.0202
2006-08,0.0892
2006-09,0.0625
2006-10,0.0495
2006-11,0.0052
2006-12,0.0613
2007-01,0.0158
2007-02,0.026000000000000002
2007-03,0.051500000000000004
2007-04,0.0782
2007-05,0.0191
2007-06,0.0016
2007-07,-0.024700000000000003
2007-08,-0.0124
2007-09,0.0345
2007-10,0.0313
2007-11,-0.051500000000000004
2007-12,0.0152
2008-01,-0.1011
2008-02,0.0045000000000000005
2008-03,-0.0008
2008-04,0.0356
2008-05,0.0069
2008-06,-0.1038
2008-07,-0.032
2008-08,0.0087
2008-09,-0.0915
2008-10,-0.11230000000000001
2008-11,-0.008100000000000001
2008-12,0.0212
2009-01,-0.056900000000000006
2009-02,-0.0418
2009-03,0.038599999999999995
2009-04,0.1272
2009-05,0.0016
2009-06,0.001
2009-07,0.1335
2009-08,0.0254
2009-09,0.0286
2009-10,0.0132
2009-11,0.0239
2009-12,0.0315
2010-01,-0.0187
2010-02,0.0045000000000000005
2010-03,0.0842
2010-04,0.061900000000000004
2010-05,-0.0342
2010-06,0.0033
2010-07,0.0555
2010-08,-0.0288
2010-09,0.1317
2010-10,0.0176
2010-11,0.032
2010-12,0.0629
2011-01,0.014499999999999999
2011-02,0.010700000000000001
2011-03,-0.0121
2011-04,0.0633
2011-05,-0.0222
2011-06,-0.0125
2011-07,-0.051399999999999994
2011-08,-0.1484
2011-09,-0.060599999999999994
2011-10,0.1067
2011-11,0.004
2011-12,0.0276
2012-01,0.0876
2012-02,0.08929999999999999
2012-03,-0.0173
2012-04,-0.013500000000000002
2012-05,-0.0666
2012-06,-0.001
2012-07,0.0512
2012-08,0.0311
2012-09,0.0196
2012-10,-0.0137
2012-11,0.0336
2012-12,0.013999999999999999
2013-01,0.0282
2013-02,0.029900000000000003
2013-03,-0.0147
2013-04,0.0063
2013-05,0.053099999999999994
2013-06,-0.0791
2013-07,0.047599999999999996
2013-08,0.019299999999999998
2013-09,0.0374
2013-10,0.0216
2013-11,0.009300000000000001
2013-12,-0.0017000000000000001
2014-01,-0.0046
2014-02,0.062400000000000004
2014-03,0.013500000000000002
2014-04,0.026099999999999998
2014-05,0.0174
2014-06,-0.011899999999999999
2014-07,-0.0416
2014-08,0.0012
2014-09,-0.0246
2014-10,-0.001
2014-11,0.016399999999999998
2014-12,-0.0026
2015-01,0.0603
2015-02,0.0374
2015-03,0.0222
2015-04,-0.0023
2015-05,0.0015
2015-06,-0.0443
2015-07,0.0286
2015-08,-0.0855
2015-09,-0.1167
2015-10,0.0857
2015-11,0.049
2015-12,-0.0699
2016-01,-0.0837
2016-02,0.038
2016-03,0.0637
2016-04,0.0509
2016-05,0.013500000000000002
2016-06,-0.0862
2016-07,0.0941
2016-08,0.023700000000000002
2016-09,0.023399999999999997
2016-10,-0.0179
2016-11,0.0275
2016-12,0.0472
2017-01,0.0365
2017-02,0.0075
2017-03,0.030299999999999997
2017-04,0.0336
2017-05,0.0008
2017-06,-0.0049
2017-07,-0.0342
2017-08,-0.0155
2017-09,0.052300000000000006
2017-10,0.0191
2017-11,-0.0213
2017-12,0.042800000000000005
2018-01,0.0074
2018-02,-0.0333
2018-03,-0.0254
2018-04,0.0403
2018-05,0.0121
2018-06,-0.008100000000000001
2018-07,0.032799999999999996
2018-08,-0.0125
2018-09,0.0143
2018-10,-0.0762
2018-11,-0.042
2018-12,-0.06280000000000001
2019-01,0.0575
2019-02,0.0273
2019-03,-0.0229
2019-04,0.08039999999999999
2019-05,-0.08470000000000001
2019-06,0.052300000000000006
2019-07,-0.0366
2019-08,-0.0447
2019-09,0.058899999999999994
2019-10,0.036699999999999997
2019-11,0.0265
2019-12,0.0371
2020-01,-0.047400000000000005
2020-02,-0.0637
2020-03,-0.201
2020-04,0.1024
2020-05,0.0338
2020-06,0.052300000000000006
2020-07,0.0625
2020-08,0.0375
2020-09,-0.038599999999999995
2020-10,-0.024
2020-11,0.1779
2020-12,0.0329
2021-01,0.0364
2021-02,0.0403
2021-03,0.0666
2021-04,0.013000000000000001
2021-05,-0.0008
2021-06,0.0024
2021-07,0.012199999999999999
2021-08,0.0161
2021-09,-0.0281
2021-10,0.0045000000000000005
2021-11,0.0033
2021-12,0.0537
2022-01,0.0063
2022-02,-0.0482
2022-03,-0.006999999999999999
2022-04,0.0046
2022-05,0.0014000000000000002
2022-06,-0.08869999999999999
2022-07,0.09269999999999999
2022-08,-0.0178
2022-09,-0.056100000000000004
2022-10,0.0747
2022-11,0.0385
2022-12,-0.0215
2023-01,0.071
2023-02,0.043899999999999995
2023-03,-0.016
2023-04,-0.0127
2023-05,-0.020499999999999997
2023-06,0.0634
2023-07,0.023399999999999997
2023-08,-0.005699999999999999
2023-09,-0.0067
2023-10,-0.041299999999999996
2023-11,0.0892
2023-12,0.0753
2024-01,0.0042
2024-02,0.0245
2024-03,0.030600000000000002
2024-04,-0.0108
2024-05,0.0673
2024-06,-0.0383
2024-07,0.010700000000000001
2024-08,0.0014000000000000002
2024-09,0.0147
2024-10,0.0022
2024-11,0.0346
2024-12,-0.002
2025-01,0.0398
2025-02,0.035699999999999996
2025-03,-0.0592
2025-04,0.0042
2025-05,0.0403
2025-06,0.0088
2025-07,0.022099999999999998
2025-08,0.0435
2025-09,0.0134
2025-10,0.0375
2025-11,0.0043
2025-12,0.041100000000000005
2026-01,0.0171
2026-02,0.0151
2026-03,-0.0735
2026-04,0.0599
2026-05,0.059000000000000004
