Period,Return
2019-01,0.024
2019-02,0.047
2019-03,0.027000000000000003
2019-04,0.049
2019-05,-0.043
2019-06,0.039
2019-07,0.033
2019-08,0.037000000000000005
2019-09,0.036000000000000004
2019-10,0.02
2019-11,-0.015
2019-12,0.051
2020-01,0.006
2020-02,0.027999999999999997
2020-03,-0.102
2020-04,0.067
2020-05,0.073
2020-06,0.044000000000000004
2020-07,0.03
2020-08,0.065
2020-09,0.009000000000000001
2020-10,0.02
2020-11,0.157
2020-12,0.043
2021-01,-0.005
2021-02,0.057999999999999996
2021-03,0.015
2021-04,0.067
2021-05,0.03
2021-06,0.057999999999999996
2021-07,0.002
2021-08,0.019
2021-09,-0.022000000000000002
2021-10,0.09699999999999999
2021-11,-0.026000000000000002
2021-12,-0.003
2022-01,-0.076
2022-02,0.011000000000000001
2022-03,0.051
2022-04,-0.044000000000000004
2022-05,-0.002
2022-06,-0.021
2022-07,0.027999999999999997
2022-08,0.011000000000000001
2022-09,-0.040999999999999995
2022-10,-0.011000000000000001
2022-11,0.099
2022-12,-0.048
2023-06,0.027000000000000003
2023-07,0.076
2023-08,-0.023
2023-09,-0.017
2023-10,-0.045
2023-11,0.067
2023-12,0.036000000000000004
2024-01,0.031
2024-02,0.07
2024-03,0.042
2024-04,-0.047
2024-05,0.004
2024-06,0.013999999999999999
2024-07,-0.001
2024-08,-0.021
2024-09,-0.009000000000000001
2024-10,0.0
2024-11,0.03
2024-12,-0.02
2025-01,0.045
2025-02,0.004
2025-03,-0.076
2025-04,-0.013999999999999999
2025-05,0.064
2025-06,0.067
2025-07,-0.004
2025-08,0.053
2025-09,0.035
2025-10,0.086
2025-11,-0.01
2025-12,0.006999999999999999
2026-01,0.15
