Period,Return
2021-02,0.05
2021-03,-0.002
2021-04,-0.003
2021-05,0.069
2021-06,0.024
2021-07,0.04
2021-08,-0.011000000000000001
2021-09,0.064
2021-10,-0.004
2021-11,-0.016
2021-12,0.083
2022-01,0.038
2022-02,-0.031
2022-03,0.052000000000000005
2022-04,0.08800000000000001
2022-05,0.016
2022-06,0.059000000000000004
2022-07,-0.042
2022-08,0.064
2022-09,0.012
2022-10,0.075
2022-11,-0.001
2022-12,-0.045
2023-01,0.043
2023-02,0.068
2023-03,0.065
2023-04,0.073
2023-05,0.009000000000000001
2023-06,-0.027000000000000003
2023-07,0.002
2023-08,0.008
2023-09,-0.013000000000000001
2023-10,0.008
2023-11,-0.0
2023-12,0.009000000000000001
2024-01,-0.022000000000000002
2024-02,0.063
2024-03,0.025
2024-04,0.026000000000000002
2024-05,-0.035
2024-06,-0.034
2024-07,0.022000000000000002
2024-08,0.034
2024-09,0.091
2024-10,0.032
2024-11,-0.013000000000000001
2024-12,0.028999999999999998
2025-01,-0.04
2025-02,0.003
2025-03,0.028999999999999998
2025-04,0.03
2025-05,0.013000000000000001
2025-06,0.03
2025-07,0.006
2025-08,-0.021
2025-09,0.019
2025-10,0.024
2025-11,0.018000000000000002
2025-12,0.03
2026-01,-0.006
2026-02,0.022000000000000002
