Period,Return
2023-01,0.0
2023-02,-0.008
2023-03,-0.129
2023-04,0.027999999999999997
2023-05,0.002
2023-06,0.022000000000000002
2023-07,-0.009000000000000001
2023-08,0.091
2023-09,0.061
2023-10,0.01
2023-11,0.063
2023-12,0.027999999999999997
2024-01,0.013999999999999999
2024-02,0.063
2024-03,0.02
2024-04,0.012
2024-05,-0.015
2024-06,0.047
2024-07,0.024
2024-08,0.009000000000000001
2024-09,0.021
2024-10,0.002
2024-11,0.032
2024-12,0.039
2025-01,0.02
2025-02,-0.022000000000000002
2025-03,0.019
2025-04,0.063
2025-05,0.001
2025-06,-0.004
2025-07,0.02
2025-08,-0.046
2025-09,-0.012
2025-10,-0.012
2025-11,0.02
2025-12,0.024
