Period,Return
2023-01,0.057
2023-02,0.02
2023-03,0.114
2023-04,0.02
2023-05,0.019
2023-06,0.018000000000000002
2023-07,0.024
2023-08,0.003
2023-09,0.008
2023-10,0.066
2023-11,0.081
2023-12,0.107
2024-01,0.038
2024-02,0.05
2024-03,0.033
2024-04,0.001
2024-05,0.068
2024-06,0.057
2024-07,0.054000000000000006
2024-08,0.13
2024-09,0.051
2024-10,0.018000000000000002
2024-11,0.013000000000000001
2024-12,0.028999999999999998
2025-01,0.009000000000000001
2025-02,-0.013000000000000001
2025-03,0.008
2025-04,0.065
2025-05,0.017
2025-06,0.037000000000000005
2025-07,0.002
2025-08,-0.002
2025-09,0.031
2025-10,0.061
2025-11,0.005
2025-12,-0.006999999999999999
2026-01,0.015
2026-02,0.037000000000000005
