Period,Return
2019-03,0.028999999999999998
2019-04,0.051
2019-05,-0.016
2019-06,0.07200000000000001
2019-07,0.037000000000000005
2019-08,-0.008
2019-09,0.012
2019-10,0.03
2019-11,0.045
2019-12,0.012
2020-01,0.033
2020-02,-0.039
2020-03,-0.012
2020-04,0.10400000000000001
2020-05,0.165
2020-06,0.10300000000000001
2020-07,0.125
2020-08,0.043
2020-09,-0.006
2020-10,-0.006999999999999999
2020-11,0.08800000000000001
2020-12,0.028999999999999998
2021-01,0.02
2021-02,-0.005
2021-03,0.022000000000000002
2021-04,0.08
2021-05,-0.027999999999999997
2021-06,0.042
2021-07,0.046
2021-08,0.049
2021-09,0.053
2021-10,0.023
2021-11,0.043
2021-12,-0.004
2022-01,0.055999999999999994
2022-02,0.013000000000000001
2022-03,-0.018000000000000002
2022-04,0.065
2022-05,0.026000000000000002
2022-06,0.042
2022-07,-0.027999999999999997
2022-08,-0.01
2022-09,0.047
2022-10,-0.002
2022-11,-0.033
2022-12,0.031
2023-01,-0.025
2023-02,0.011000000000000001
2023-03,0.048
2023-04,0.02
2023-05,0.024
2023-06,0.009000000000000001
2023-07,0.026000000000000002
2023-08,0.005
2023-09,0.017
2023-10,0.02
2023-11,0.01
2023-12,0.053
2024-01,0.025
2024-02,0.059000000000000004
2024-03,0.009000000000000001
2024-04,-0.006999999999999999
2024-05,0.024
2024-06,0.039
2024-07,-0.021
2024-08,0.017
2024-09,0.04
2024-10,0.015
2024-11,0.027000000000000003
2024-12,-0.013999999999999999
2025-01,0.022000000000000002
2025-02,-0.023
2025-03,-0.019
2025-04,0.016
2025-05,0.038
2025-06,0.023
2025-07,0.03
2025-08,0.002
2025-09,0.044000000000000004
2025-10,0.022000000000000002
2025-11,-0.003
2025-12,0.006
