Period,Return
2023-03,-0.018000000000000002
2023-04,0.0195
2023-05,-0.0036
2023-06,0.0178
2023-07,0.014499999999999999
2023-08,0.0424
2023-09,-0.0054
2023-10,0.0725
2023-11,-0.0026
2023-12,-0.0085
2024-01,0.021099999999999997
2024-02,0.0042
2024-03,0.0106
2024-04,-0.0281
2024-05,0.0461
2024-06,0.0269
2024-07,0.0377
2024-08,0.036699999999999997
2024-09,0.0158
2024-10,0.0001
2024-11,0.030600000000000002
2024-12,-0.0183
2025-01,0.0333
2025-02,0.0125
2025-03,-0.0138
2025-04,0.052199999999999996
2025-05,0.044199999999999996
2025-06,-0.0155
2025-07,0.004699999999999999
2025-08,0.0208
2025-09,0.0018
2025-10,0.0258
2025-11,0.0345
2025-12,0.015700000000000002
2026-01,0.0195
2026-02,0.0978
2026-03,-0.0033
2026-04,0.0311
2026-05,-0.0002
2026-06,0.0183
2026-07,-0.0075
