Period,Return
2021-02,0.049800000000000004
2021-03,-0.0018
2021-04,-0.0025
2021-05,0.0693
2021-06,0.0241
2021-07,0.039900000000000005
2021-08,-0.011399999999999999
2021-09,0.0638
2021-10,-0.0040999999999999995
2021-11,-0.0165
2021-12,0.0834
2022-01,0.0379
2022-02,-0.031200000000000002
2022-03,0.0521
2022-04,0.08789999999999999
2022-05,0.0155
2022-06,0.0593
2022-07,-0.042300000000000004
2022-08,0.0636
2022-09,0.0123
2022-10,0.0755
2022-11,-0.0008
2022-12,-0.0455
2023-01,0.043
2023-02,0.0677
2023-03,0.06509999999999999
2023-04,0.0727
2023-05,0.0095
2023-06,-0.026600000000000002
2023-07,0.002
2023-08,0.008
2023-09,-0.013000000000000001
2023-10,0.0085
2023-11,-0.0003
2023-12,0.0086
2024-01,-0.0218
2024-02,0.0633
2024-03,0.025099999999999997
2024-04,0.026000000000000002
2024-05,-0.0355
2024-06,-0.0333
2024-07,0.022400000000000003
2024-08,0.0338
2024-09,0.091
2024-10,0.0319
2024-11,-0.013000000000000001
2024-12,0.028999999999999998
2025-01,-0.0405
2025-02,0.0034999999999999996
2025-03,0.0288
2025-04,0.0304
2025-05,0.013300000000000001
2025-06,0.0296
2025-07,0.0063
2025-08,-0.0207
2025-09,0.018799999999999997
2025-10,0.024399999999999998
2025-11,0.0179
2025-12,0.029500000000000002
2026-01,-0.0063
2026-02,0.022000000000000002
2026-03,0.0241
2026-04,0.008
2026-05,-0.0048
