Period,Return
2023-08,-0.022000000000000002
2023-09,-0.031
2023-10,0.002
2023-11,0.062
2023-12,0.017
2024-01,0.027000000000000003
2024-02,0.049
2024-03,0.042
2024-04,-0.033
2024-05,0.05
2024-06,-0.016
2024-07,-0.009000000000000001
2024-08,0.066
2024-09,0.042
2024-10,0.062
2024-11,0.171
2024-12,-0.040999999999999995
2025-01,0.038
2025-02,-0.001
2025-03,-0.061
2025-04,0.025
2025-05,0.155
2025-06,0.06
2025-07,0.012
2025-08,0.023
2025-09,0.027999999999999997
2025-10,-0.032
2025-11,-0.011000000000000001
2025-12,-0.01
2026-01,-0.006
2026-02,-0.013999999999999999
2026-03,-0.048
2026-04,0.098
2026-05,0.10300000000000001
