Period,Return
2019-01,0.045700000000000005
2019-02,0.0315
2019-03,0.005699999999999999
2019-04,0.0298
2019-05,-0.0197
2019-06,0.0206
2019-07,0.0132
2019-08,-0.0074
2019-09,-0.0264
2019-10,0.005
2019-11,0.013500000000000002
2019-12,0.0033
2020-01,0.024399999999999998
2020-02,-0.0038
2020-03,-0.0716
2020-04,0.0364
2020-05,0.04019999999999999
2020-06,0.0105
2020-07,0.0319
2020-08,0.0287
2020-09,-0.0098
2020-10,-0.0066
2020-11,0.0706
2020-12,0.0412
2021-01,-0.0348
2021-02,0.0556
2021-03,-0.0235
2021-04,0.0134
2021-05,-0.0171
2021-06,0.0187
2021-07,-0.0161
2021-08,0.012199999999999999
2021-09,-0.0177
2021-10,0.03
2021-11,-0.030899999999999997
2021-12,0.0
2022-01,-0.071
2022-02,-0.0103
2022-03,0.0031
2022-04,-0.055099999999999996
2022-05,-0.035
2022-06,-0.0533
2022-07,0.0393
2022-08,-0.0294
2022-09,-0.061399999999999996
2022-10,0.0359
2022-11,0.0275
2022-12,-0.020099999999999996
2023-01,0.039
2023-02,-0.016399999999999998
2023-03,0.0308
2023-04,-0.0116
2023-05,0.0444
2023-06,0.0282
2023-07,0.0163
2023-08,0.0018
2023-09,-0.024
2023-10,-0.0134
2023-11,0.0667
2023-12,0.031200000000000002
2024-01,0.023
2024-02,0.032
2024-03,0.0137
2024-04,-0.03
2024-05,0.0161
2024-06,0.024700000000000003
2024-07,-0.0115
2024-08,0.0213
2024-09,0.0064
2024-10,-0.005600000000000001
2024-11,0.034300000000000004
2024-12,-0.0083
2025-01,0.0176
2025-02,-0.0125
2025-03,-0.045
2025-04,-0.0016
2025-05,0.0358
2025-06,0.032
2025-07,0.0131
2025-08,0.0141
2025-09,0.0273
2025-10,0.02
2025-11,-0.0028000000000000004
2025-12,-0.0001
2026-01,0.028999999999999998
2026-02,0.0049
2026-03,-0.039599999999999996
2026-04,0.06860000000000001
2026-05,0.030299999999999997
2026-06,0.023399999999999997
2026-07,-0.0208
2026-08,0.0023
