Period,Return
2008-07,-0.0189
2008-08,-0.0724
2008-09,-0.21899999999999997
2008-10,0.1663
2008-11,-0.0793
2008-12,0.11019999999999999
2009-01,0.226
2009-02,0.07
2009-03,0.1923
2009-04,0.11
2009-05,0.17190000000000003
2009-06,0.20929999999999999
2009-07,0.079
2009-08,0.1528
2009-09,-0.005
2009-10,-0.1263
2009-11,-0.0087
2009-12,0.08650000000000001
2010-01,-0.0297
2010-02,0.0601
2010-03,0.0455
2010-04,0.057699999999999994
2010-05,-0.03
2010-06,-0.17980000000000002
2010-07,0.0393
2010-08,-0.0665
2010-09,0.0703
2010-10,0.07730000000000001
2010-11,0.056100000000000004
2010-12,0.0513
2011-01,0.14029999999999998
2011-02,0.0926
2011-03,-0.04
2011-04,0.012
2011-05,0.0643
2011-06,0.0132
2011-07,0.0036
2011-08,-0.05
2011-09,-0.053399999999999996
2011-10,0.0276
2011-11,-0.0040999999999999995
2011-12,-0.0434
2012-01,0.0455
2012-02,0.0165
2012-03,0.0751
2012-04,-0.0137
2012-05,-0.0067
2012-06,0.039900000000000005
2012-07,0.0194
2012-08,-0.015700000000000002
2012-09,0.024
2012-10,0.0761
2012-11,0.0172
2012-12,0.0301
2013-01,0.08259999999999999
2013-02,0.0397
2013-03,0.041100000000000005
2013-04,0.038
2013-05,0.058899999999999994
2013-06,-0.0378
2013-07,0.027000000000000003
2013-08,-0.0351
2013-09,-0.0070999999999999995
2013-10,0.0506
2013-11,0.0473
2013-12,0.0268
2014-01,0.0027
2014-02,0.0812
2014-03,-0.0048
2014-04,-0.0269
2014-05,-0.0049
2014-06,0.0088
2014-07,-0.0227
2014-08,0.0144
2014-09,-0.0187
2014-10,-0.028900000000000002
2014-11,-0.0004
2014-12,-0.0052
2015-01,-0.0678
2015-02,0.0356
2015-03,-0.023399999999999997
2015-04,0.036699999999999997
2015-05,0.0074
2015-06,-0.009000000000000001
2015-07,-0.0378
2015-08,-0.0455
2015-09,-0.0596
2015-10,0.046
2015-11,0.024900000000000002
2015-12,-0.09849999999999999
2016-01,-0.1235
2016-02,0.0202
2016-03,0.0877
2016-04,0.046799999999999994
2016-05,0.03
2016-06,-0.09789999999999999
2016-07,0.128
2016-08,0.0495
2016-09,-0.0077
2016-10,0.0172
2016-11,0.2395
2016-12,0.0567
2017-01,0.011899999999999999
2017-02,0.0558
2017-03,-0.0354
2017-04,0.0109
2017-05,-0.0375
2017-06,0.0302
2017-07,0.0478
2017-08,-0.0321
2017-09,0.0467
2017-10,-0.011200000000000002
2017-11,0.035
2017-12,0.051399999999999994
2018-01,0.0859
2018-02,-0.0236
2018-03,-0.045700000000000005
2018-04,0.012
2018-05,0.0044
2018-06,-0.0012
2018-07,0.0406
2018-08,0.0022
2018-09,-0.0131
2018-10,-0.0737
2018-11,-0.0029
2018-12,-0.1401
2019-01,0.1776
2019-02,0.0444
2019-03,-0.026000000000000002
2019-04,0.0425
2019-05,-0.047400000000000005
2019-06,0.0458
2019-07,0.0105
2019-08,-0.048600000000000004
2019-09,0.076
2019-10,0.0098
2019-11,0.0287
2019-12,0.0332
2020-01,-0.0226
2020-02,-0.11019999999999999
2020-03,-0.36229999999999996
2020-04,0.2238
2020-05,0.0775
2020-06,0.10710000000000001
2020-07,0.0546
2020-08,0.0701
2020-09,0.0029
2020-10,0.062400000000000004
2020-11,0.1561
2020-12,0.051699999999999996
2021-01,0.0
2021-02,0.0709
2021-03,0.0332
2021-04,0.032
2021-05,0.0116
2021-06,-0.0195
2021-07,-0.0001
2021-08,0.015
2021-09,0.0078000000000000005
2021-10,0.013500000000000002
2021-11,-0.009399999999999999
2021-12,0.0652
2022-01,0.010700000000000001
2022-02,0.0068000000000000005
2022-03,-0.057
2022-04,-0.039900000000000005
2022-05,0.014499999999999999
2022-06,-0.1206
2022-07,0.08130000000000001
2022-08,0.0344
2022-09,-0.134
2022-10,0.1084
2022-11,0.0393
2022-12,-0.0404
2023-01,0.156
2023-02,0.0155
2023-03,-0.1335
2023-04,0.07
2023-05,-0.0106
2023-06,0.0674
2023-07,0.1035
2023-08,-0.024700000000000003
2023-09,-0.0017000000000000001
2023-10,-0.0252
2023-11,0.0925
2023-12,0.09630000000000001
2024-01,0.0151
2024-02,0.0354
2024-03,0.053399999999999996
2024-04,-0.0236
2024-05,0.0432
2024-06,-0.0054
2024-07,0.11560000000000001
2024-08,-0.016200000000000003
2024-09,0.0097
2024-10,0.0163
2024-11,0.1819
2024-12,-0.049699999999999994
2025-01,0.0703
2025-02,-0.020499999999999997
2025-03,-0.051500000000000004
2025-04,0.0042
2025-05,0.0787
2025-06,0.057
2025-07,0.0662
2025-08,0.0405
2025-09,0.0032
2025-10,-0.0525
2025-11,0.056900000000000006
2025-12,0.04
2026-01,0.0548
2026-02,-0.06280000000000001
2026-03,-0.061500000000000006
2026-04,0.0717
