Period,Return
2005-01,0.0044
2005-02,0.0296
2005-03,0.0067
2005-04,-0.0187
2005-05,0.0023
2005-06,0.0046
2005-07,0.001
2005-08,0.001
2005-09,-0.0023
2005-10,-0.0001
2005-11,0.0036
2005-12,0.025099999999999997
2006-01,0.0159
2006-02,0.0070999999999999995
2006-03,0.0055000000000000005
2006-04,0.018799999999999997
2006-05,-0.019
2006-06,-0.0163
2006-07,0.0002
2006-08,0.0077
2006-09,0.0434
2006-10,0.011699999999999999
2006-11,0.012199999999999999
2006-12,0.0166
2007-01,0.002
2007-02,-0.0127
2007-03,-0.0103
2007-04,0.0462
2007-05,0.0698
2007-06,-0.0139
2007-07,-0.0761
2007-08,-0.0433
2007-09,0.0019
2007-10,-0.0039000000000000003
2007-11,0.0674
2007-12,-0.0069
2008-01,0.013500000000000002
2008-02,0.030600000000000002
2008-03,-0.0018
2008-04,-0.08779999999999999
2008-05,-0.0115
2008-06,0.0208
2008-07,0.0242
2008-08,0.0067
2008-09,-0.013000000000000001
2008-10,0.1165
2008-11,0.0707
2008-12,0.0849
2009-01,0.0204
2009-02,0.0026
2009-03,0.008199999999999999
2009-04,0.0429
2009-05,0.06559999999999999
2009-06,-0.013500000000000002
2009-07,0.056299999999999996
2009-08,0.016200000000000003
2009-09,0.018000000000000002
2009-10,0.0344
2009-11,0.0394
2009-12,0.0084
2010-01,0.0134
2010-02,0.0203
2010-03,0.048799999999999996
2010-04,0.0049
2010-05,-0.0053
2010-06,0.018600000000000002
2010-07,0.0124
2010-08,0.035
2010-09,0.0304
2010-10,0.0269
2010-11,-0.0019
2010-12,0.0192
2011-01,0.022000000000000002
2011-02,0.0334
2011-03,-0.009000000000000001
2011-04,0.0452
2011-05,-0.0382
2011-06,-0.018600000000000002
2011-07,0.0296
2011-08,-0.0373
2011-09,0.0206
2011-10,-0.026699999999999998
2011-11,-0.0139
2011-12,0.0437
2012-01,0.0123
2012-02,0.025099999999999997
2012-03,0.015
2012-04,-0.015600000000000001
2012-05,0.001
2012-06,-0.0195
2012-07,0.0172
2012-08,0.0040999999999999995
2012-09,0.0105
2012-10,-0.0095
2012-11,0.013000000000000001
2012-12,0.0371
2013-01,0.0318
2013-02,0.0043
2013-03,0.0040999999999999995
2013-04,0.0069
2013-05,0.0194
2013-06,-0.0062
2013-07,-0.008
2013-08,-0.0182
2013-09,-0.009300000000000001
2013-10,0.0269
2013-11,0.0212
2013-12,0.028900000000000002
2014-01,-0.0132
2014-02,-0.012199999999999999
2014-03,-0.0159
2014-04,0.0045000000000000005
2014-05,-0.0018
2014-06,0.005600000000000001
2014-07,-0.0070999999999999995
2014-08,0.04019999999999999
2014-09,0.071
2014-10,-0.0179
2014-11,0.0421
2014-12,0.0084
2015-01,0.0572
2015-02,-0.010700000000000001
2015-03,0.018799999999999997
2015-04,-0.0326
2015-05,0.0178
2015-06,-0.0265
2015-07,0.021099999999999997
2015-08,-0.0226
2015-09,-0.0048
2015-10,-0.0131
2015-11,0.0322
2015-12,-0.018500000000000003
2016-01,0.0073
2016-02,0.0086
2016-03,-0.0079
2016-04,-0.008100000000000001
2016-05,-0.0003
2016-06,0.0059
2016-07,0.002
2016-08,-0.0060999999999999995
2016-09,0.0034000000000000002
2016-10,0.0354
2016-11,0.049400000000000006
2016-12,0.024
2017-01,-0.019799999999999998
2017-02,-0.0171
2017-03,0.0028000000000000004
2017-04,-0.0216
2017-05,-0.0163
2017-06,-0.0045000000000000005
2017-07,0.0239
2017-08,-0.008199999999999999
2017-09,0.0034000000000000002
2017-10,-0.0052
2017-11,-0.0049
2017-12,-0.0026
2018-01,0.06570000000000001
2018-02,-0.0092
2018-03,-0.0219
2018-04,0.020099999999999996
2018-05,0.005
2018-06,0.0012
