Period,Return
2024-02,0.0191
2024-03,-0.009399999999999999
2024-04,-0.0028000000000000004
2024-05,0.0398
2024-06,0.0315
2024-07,0.041100000000000005
2024-08,0.015600000000000001
2024-09,0.0092
2024-10,0.0087
2024-11,-0.0089
2024-12,0.021099999999999997
2025-01,0.0246
2025-02,0.0102
2025-03,0.08779999999999999
2025-04,0.0058
2025-05,0.0604
2025-06,0.0033
2025-07,0.0029
2025-08,0.006500000000000001
2025-09,0.07980000000000001
2025-10,0.0286
2025-11,0.0235
2025-12,-0.0174
2026-01,0.0063
2026-02,0.010700000000000001
2026-03,0.0359
2026-04,0.024300000000000002
2026-05,0.0175
