Period,Return
2024-04,0.0138
2024-05,0.0138
2024-06,0.012199999999999999
2024-07,0.024
2024-08,0.030299999999999997
2024-09,0.033
2024-10,0.013500000000000002
2024-11,0.0287
2024-12,0.0332
2025-01,0.014499999999999999
2025-02,0.018600000000000002
2025-03,0.028300000000000002
2025-04,0.0212
2025-05,0.0229
2025-06,0.0189
2025-07,0.0204
2025-08,0.020499999999999997
2025-09,0.022099999999999998
2025-10,0.021400000000000002
2025-11,0.0259
2025-12,0.029500000000000002
2026-01,0.0217
2026-02,0.0175
2026-03,0.019
2026-04,0.0179
2026-05,0.0182
2026-06,0.02
