Period,Return
2023-01,0.0183
2023-02,0.0449
2023-03,0.0507
2023-04,0.0189
2023-05,-0.0039000000000000003
2023-06,0.0163
2023-07,0.0015
2023-08,-0.0038
2023-09,-0.0039000000000000003
2023-10,0.0019
2023-11,0.005600000000000001
2023-12,0.0095
2024-01,0.0178
2024-02,0.0148
2024-03,0.07
2024-04,0.013000000000000001
2024-05,0.018500000000000003
2024-06,0.006999999999999999
2024-07,0.0126
2024-08,0.0067
2024-09,0.008199999999999999
2024-10,0.0113
2024-11,0.039599999999999996
2024-12,0.04
2025-01,0.0308
2025-02,0.0083
2025-03,0.0078000000000000005
2025-04,0.0012
2025-05,0.0097
2025-06,0.0152
2025-07,0.0206
2025-08,0.015700000000000002
2025-09,0.0137
2025-10,0.004699999999999999
2025-11,0.006500000000000001
2025-12,0.002
2026-01,0.0072
2026-02,0.0042
2026-03,0.0045000000000000005
2026-04,0.0032
