Period,Return
2023-11,0.012
2023-12,0.004
2024-01,0.031
2024-02,-0.002
2024-03,-0.001
2024-04,0.02
2024-05,0.006
2024-06,0.04
2024-07,0.018000000000000002
2024-08,0.064
2024-09,0.035
2024-10,0.033
2024-11,-0.027999999999999997
2024-12,-0.005
2025-01,0.021
2025-02,0.002
2025-03,0.027999999999999997
2025-04,0.016
2025-05,0.011000000000000001
2025-06,0.016
2025-07,-0.001
2025-08,0.04
2025-09,-0.01
2025-10,0.01
2025-11,0.054000000000000006
2025-12,0.03
2026-01,-0.006999999999999999
2026-02,-0.019
2026-03,0.017
2026-04,-0.044000000000000004
2026-05,0.021
2026-06,-0.043
