Period,Return
2024-01,-0.056100000000000004
2024-02,0.1157
2024-03,0.0354
2024-04,-0.0464
2024-05,0.0809
2024-06,0.07519999999999999
2024-07,-0.0105
2024-08,0.0308
2024-09,0.21
2024-10,-0.06860000000000001
2024-11,0.0842
2024-12,-0.0006
2025-01,0.12539999999999998
2025-02,0.0877
2025-03,-0.0833
2025-04,-0.0166
2025-05,0.075
2025-06,0.0525
2025-07,-0.030699999999999998
2025-08,0.0681
2025-09,0.1012
2025-10,-0.0256
2025-11,-0.024300000000000002
2025-12,-0.009300000000000001
2026-01,0.02
2026-02,-0.08839999999999999
2026-03,-0.1902
2026-04,0.1186
