Period,Return
2006-10,0.0664
2006-11,0.1354
2006-12,0.121
2007-01,0.0248
2007-02,-0.0077
2007-03,-0.06269999999999999
2007-04,-0.0066
2007-05,0.058899999999999994
2007-06,0.038
2007-07,-0.10300000000000001
2007-08,-0.1552
2007-09,0.2697
2007-10,0.1125
2007-11,-0.0034000000000000002
2007-12,0.0707
2008-01,0.0204
2008-02,0.1436
2008-03,-0.0575
2008-04,-0.0019
2008-05,-0.006
2008-06,0.053899999999999997
2008-07,-0.069
2008-08,-0.06570000000000001
2008-09,-0.16570000000000001
2008-10,-0.2261
2008-11,0.0818
2008-12,0.10769999999999999
2009-01,-0.056900000000000006
2009-02,-0.048600000000000004
2009-03,0.044800000000000006
2009-04,0.0059
2009-05,0.004699999999999999
2009-06,-0.0037
2009-07,0.1591
2009-08,0.15130000000000002
2009-09,0.13419999999999999
2009-10,-0.0852
2009-11,0.15460000000000002
2009-12,-0.027999999999999997
2010-01,-0.0559
2010-02,0.018600000000000002
2010-03,0.0332
2010-04,0.1059
2010-05,0.0339
2010-06,0.053899999999999997
2010-07,0.1225
2010-08,0.062400000000000004
2010-09,0.1948
2010-10,0.0818
2010-11,-0.0717
2010-12,0.0644
2011-01,0.0075
2011-02,0.0241
2011-03,0.0418
2011-04,0.1868
2011-05,0.0075
2011-06,-0.0506
2011-07,0.1202
2011-08,0.025
2011-09,-0.15460000000000002
2011-10,0.1399
2011-11,-0.0227
2011-12,0.0070999999999999995
2012-01,0.13720000000000002
2012-02,0.0975
2012-03,-0.0375
2012-04,0.015
2012-05,-0.1143
2012-06,0.0147
2012-07,0.079
2012-08,0.061900000000000004
2012-09,0.033
2012-10,-0.015600000000000001
2012-11,0.0552
2012-12,0.035
2013-01,0.0212
2013-02,0.0104
2013-03,0.051100000000000007
2013-04,0.0766
2013-05,-0.1032
2013-06,-0.2143
2013-07,0.12269999999999999
2013-08,-0.05
2013-09,0.1246
2013-10,0.10439999999999999
2013-11,0.0212
2013-12,-0.019299999999999998
2014-01,-0.002
2014-02,0.1276
2014-03,0.0259
2014-04,0.060899999999999996
2014-05,0.1134
2014-06,0.06709999999999999
2014-07,-0.0676
2014-08,0.11689999999999999
2014-09,-0.1516
2014-10,0.0287
2014-11,0.0319
2014-12,-0.0521
2015-01,0.0962
2015-02,0.0219
2015-03,0.011000000000000001
2015-04,0.015300000000000001
2015-05,-0.046
2015-06,-0.0894
2015-07,0.0040999999999999995
2015-08,-0.1592
2015-09,0.0305
2015-10,0.07139999999999999
2015-11,-0.0331
2015-12,-0.09210000000000002
2016-01,0.0384
2016-02,0.0658
2016-03,0.12210000000000001
2016-04,0.009399999999999999
2016-05,0.0002
2016-06,0.1199
2016-07,0.027999999999999997
2016-08,-0.0067
2016-09,0.0175
2016-10,-0.0571
2016-11,-0.0926
2016-12,0.0163
2017-01,0.0036
2017-02,0.0779
2017-03,0.0055000000000000005
2017-04,0.018799999999999997
2017-05,0.0288
2017-06,-0.0078000000000000005
2017-07,0.0684
2017-08,0.0229
2017-09,-0.0116
2017-10,0.0513
2017-11,0.0325
2017-12,0.0432
2018-01,0.0698
2018-02,-0.12029999999999999
2018-03,0.0202
2018-04,0.0144
2018-05,-0.0016
2018-06,-0.0397
2018-07,-0.008100000000000001
2018-08,0.0077
2018-09,0.0126
2018-10,-0.1672
2018-11,-0.04019999999999999
2018-12,-0.0626
2019-01,0.132
2019-02,0.0263
2019-03,0.0989
2019-04,0.013600000000000001
2019-05,-0.0236
2019-06,0.1971
2019-07,0.045599999999999995
2019-08,0.0557
2019-09,0.008199999999999999
2019-10,-0.0174
2019-11,-0.0138
2019-12,0.0451
2020-01,0.0115
2020-02,-0.0659
2020-03,-0.2895
2020-04,0.076
2020-05,0.055099999999999996
2020-06,0.0417
2020-07,0.1378
2020-08,0.0147
2020-09,-0.023799999999999998
2020-10,-0.062400000000000004
2020-11,0.1514
2020-12,0.1108
2021-01,-0.0039000000000000003
2021-02,-0.014499999999999999
2021-03,0.0183
2021-04,0.1223
2021-05,0.0581
2021-06,-0.0149
2021-07,0.036699999999999997
2021-08,0.02
2021-09,-0.023399999999999997
2021-10,-0.0414
2021-11,-0.07730000000000001
2021-12,0.1232
2022-01,-0.0038
2022-02,0.0015
2022-03,0.0383
2022-04,-0.0339
2022-05,0.048600000000000004
2022-06,-0.1653
2022-07,0.0703
2022-08,-0.050199999999999995
2022-09,-0.1974
2022-10,0.11720000000000001
2022-11,0.059800000000000006
2022-12,-0.0698
2023-01,0.0613
2023-02,-0.043
2023-03,0.0014000000000000002
2023-04,0.026000000000000002
2023-05,-0.0828
2023-06,0.10220000000000001
2023-07,0.060899999999999996
2023-08,0.0227
2023-09,-0.0268
2023-10,-0.044199999999999996
2023-11,0.15689999999999998
2023-12,0.053
2024-01,0.0667
2024-02,0.0489
2024-03,0.0965
2024-04,-0.0533
2024-05,0.008199999999999999
2024-06,-0.0001
2024-07,0.024
2024-08,0.0045000000000000005
2024-09,0.0735
2024-10,-0.0885
2024-11,0.1379
2024-12,-0.0255
2025-01,0.0728
2025-02,-0.009399999999999999
2025-03,-0.0141
2025-04,-0.0901
2025-05,0.0263
2025-06,0.023399999999999997
2025-07,0.0131
2025-08,0.0836
2025-09,0.042300000000000004
2025-10,-0.003
2025-11,0.030699999999999998
2025-12,-0.0219
2026-01,0.0992
2026-02,0.1184
2026-03,-0.0825
2026-04,0.11410000000000001
2026-05,-0.0233
