Period,Return
2021-08,0.017
2021-09,-0.064
2021-10,-0.051
2021-11,-0.193
2021-12,0.11
2022-01,-0.11599999999999999
2022-02,-0.102
2022-03,0.096
2022-04,0.062
2022-05,0.128
2022-06,-0.10400000000000001
2022-07,0.191
2022-08,-0.107
2022-09,-0.22
2022-10,0.225
2022-11,-0.087
2022-12,-0.183
2023-01,0.159
2023-02,-0.146
2023-03,0.09699999999999999
2023-04,0.048
2023-05,-0.147
2023-06,0.257
2023-07,0.08
2023-08,-0.043
2023-09,-0.069
2023-10,-0.226
2023-11,0.27699999999999997
2023-12,0.062
2024-01,0.113
2024-02,0.273
2024-03,0.212
2024-04,-0.14
2024-05,-0.085
2024-06,0.128
2024-07,0.019
2024-08,-0.027999999999999997
2024-09,-0.038
2024-10,-0.067
2024-11,0.163
2024-12,-0.065
2025-01,0.09
2025-02,-0.06
2025-03,-0.03
2025-04,-0.27399999999999997
2025-05,0.057999999999999996
2025-06,0.125
2025-07,0.16699999999999998
2025-08,-0.063
2025-09,0.23600000000000002
2025-10,0.091
2025-11,-0.04
2025-12,0.049
2026-01,0.235
2026-02,0.171
2026-03,-0.08
2026-04,0.091
