Period,Return
2021-06,0.0075
2021-07,-0.003
2021-08,-0.0003
2021-09,0.025099999999999997
2021-10,-0.0068000000000000005
2021-11,0.005
2021-12,0.0048
2022-01,-0.0034000000000000002
2022-02,0.021
2022-03,0.0321
2022-04,0.0031
2022-05,0.0141
2022-06,-0.0085
2022-07,0.0016
2022-08,-0.0086
2022-09,0.0021
2022-10,0.0371
2022-11,0.0060999999999999995
2022-12,0.006500000000000001
2023-01,0.0281
2023-02,-0.0414
2023-03,-0.0067
2023-04,0.0254
2023-05,0.013300000000000001
2023-06,0.029300000000000003
2023-07,0.049100000000000005
2023-08,0.005699999999999999
2023-09,-0.0092
2023-10,0.0002
2023-11,0.0751
2023-12,0.0263
2024-01,0.008
2024-02,-0.024900000000000002
2024-03,0.0213
2024-04,0.008
2024-05,0.0351
2024-06,0.0706
2024-07,0.0697
2024-08,-0.0216
2024-09,0.066
2024-10,-0.0302
2024-11,0.0463
2024-12,-0.029300000000000003
2025-01,0.0011
2025-02,0.047400000000000005
2025-03,0.0332
2025-04,0.0605
2025-05,0.0073
2025-06,0.0335
2025-07,0.013999999999999999
2025-08,0.0268
2025-09,-0.0009
2025-10,0.029900000000000003
2025-11,0.025699999999999997
2025-12,-0.0121
2026-01,-0.0091
2026-02,0.0256
2026-03,0.0176
2026-04,-0.0048
