Period,Return
2016-05,-0.022000000000000002
2016-06,-0.035
2016-07,0.011000000000000001
2016-08,0.012
2016-09,0.038
2016-10,-0.024
2016-11,-0.011000000000000001
2016-12,-0.004
2017-01,0.023
2017-02,-0.016
2017-03,0.033
2017-04,0.0
2017-05,-0.019
2017-06,-0.001
2017-07,0.006
2017-08,0.032
2017-09,0.008
2017-10,0.012
2017-11,-0.008
2017-12,0.028999999999999998
2018-01,0.036000000000000004
2018-02,0.01
2018-03,-0.004
2018-04,0.032
2018-05,0.028999999999999998
2018-06,0.003
2018-07,0.0
2018-08,0.013999999999999999
2018-09,0.01
2018-10,-0.022000000000000002
2018-11,-0.03
2018-12,0.006
2019-01,0.027999999999999997
2019-02,0.005
2019-03,0.019
2019-04,0.005
2019-05,0.028999999999999998
2019-06,0.002
2019-07,0.018000000000000002
2019-08,0.009000000000000001
2019-09,-0.01
2019-10,-0.003
2019-11,0.013000000000000001
2019-12,0.03
2020-01,0.001
2020-02,0.016
2020-03,-0.043
2020-04,0.025
2020-05,0.027000000000000003
2020-06,0.016
2020-07,0.017
2020-08,0.004
2020-09,0.004
2020-10,0.011000000000000001
2020-11,0.013999999999999999
2020-12,0.044000000000000004
2021-01,-0.004
2021-02,0.038
2021-03,-0.003
2021-04,0.013000000000000001
2021-05,-0.002
2021-06,0.0
2021-07,-0.002
2021-08,0.005
2021-09,0.022000000000000002
2021-10,0.0
2021-11,-0.001
2021-12,0.004
2022-01,0.004
2022-02,0.009000000000000001
2022-03,0.006
2022-04,0.01
2022-05,-0.006999999999999999
2022-06,0.009000000000000001
2022-07,-0.001
2022-08,0.0
2022-09,0.003
2022-10,-0.009000000000000001
2022-11,-0.004
2022-12,0.013000000000000001
2023-01,-0.001
2023-02,-0.002
2023-03,0.002
2023-04,0.003
2023-05,0.0
2023-06,-0.002
2023-07,0.0
2023-08,0.005
2023-09,0.003
2023-10,0.012
2023-11,0.019
2023-12,0.008
2024-01,0.013000000000000001
2024-02,0.013999999999999999
2024-03,0.031
2024-04,0.003
2024-05,0.016
2024-06,0.026000000000000002
2024-07,0.003
2024-08,0.004
2024-09,0.003
2024-10,0.037000000000000005
2024-11,0.021
2024-12,0.017
2025-01,0.018000000000000002
2025-02,-0.01
2025-03,-0.013999999999999999
2025-04,0.026000000000000002
2025-05,0.01
2025-06,0.027000000000000003
2025-07,0.016
2025-08,0.01
2025-09,0.013000000000000001
2025-10,0.017
2025-11,0.017
2025-12,0.027000000000000003
2026-01,0.024
2026-02,-0.006999999999999999
2026-03,-0.001
2026-04,0.033
