Period,Return
2022-10,-0.0473
2022-11,0.0349
2022-12,0.0009
2023-01,0.0898
2023-02,0.0203
2023-03,0.016399999999999998
2023-04,-0.0097
2023-05,0.1103
2023-06,0.0021
2023-07,0.0239
2023-08,0.0059
2023-09,-0.0262
2023-10,-0.039
2023-11,0.0393
2023-12,0.0467
2024-01,0.0719
2024-02,0.0335
2024-03,0.0067
2024-04,0.010700000000000001
2024-05,0.0766
2024-06,0.0536
2024-07,0.0051
2024-08,0.0068000000000000005
2024-09,0.07339999999999999
2024-10,0.0192
2024-11,0.061799999999999994
2024-12,0.0348
2025-01,-0.0055000000000000005
2025-02,-0.023799999999999998
2025-03,-0.0028000000000000004
2025-04,-0.0005
2025-05,0.0225
2025-06,0.062
2025-07,0.0635
2025-08,0.066
2025-09,0.0652
2025-10,0.1121
2025-11,0.0051
2025-12,0.0115
2026-01,0.1232
2026-02,0.0917
2026-03,-0.0091
2026-04,0.1335
2026-05,0.0701
