Period,Return
2021-01,0.066
2021-02,0.011000000000000001
2021-03,0.039
2021-04,0.006999999999999999
2021-05,0.018000000000000002
2021-06,0.064
2021-07,0.027999999999999997
2021-08,0.061
2021-09,-0.009000000000000001
2021-10,0.068
2021-11,0.122
2021-12,0.024
2022-01,0.059000000000000004
2022-02,0.096
2022-03,0.057999999999999996
2022-04,0.068
2022-05,0.055999999999999994
2022-06,0.096
2022-07,0.036000000000000004
2022-08,0.044000000000000004
2022-09,0.013000000000000001
2022-10,0.079
2022-11,0.016
2022-12,0.015
2023-01,0.03
2023-02,0.024
2023-03,0.096
2023-04,0.044000000000000004
2023-05,0.037000000000000005
2023-06,0.027999999999999997
2023-07,0.04
2023-08,0.057999999999999996
2023-09,0.022000000000000002
2023-10,0.069
2023-11,0.061
2023-12,0.02
2024-01,0.037000000000000005
2024-02,0.040999999999999995
2024-03,0.052000000000000005
2024-04,0.085
2024-05,0.057
2024-06,0.04
2024-07,-0.003
2024-08,0.066
2024-09,0.032
2024-10,0.024
2024-11,0.057999999999999996
2024-12,0.015
2025-01,0.031
2025-02,0.052000000000000005
2025-03,0.038
2025-04,0.085
2025-05,0.042
2025-06,0.033
2025-07,0.026000000000000002
2025-08,0.084
2025-09,0.057
2025-10,0.033
2025-11,0.049
2025-12,0.052000000000000005
2026-01,0.054000000000000006
2026-02,0.011000000000000001
2026-03,0.124
2026-04,0.062
2026-05,0.054000000000000006
2026-06,0.037000000000000005
2026-07,0.052000000000000005
