Period,Return
2022-01,0.0052
2022-02,0.021099999999999997
2022-03,0.001
2022-04,0.0
2022-05,0.0
2022-06,0.0
2022-07,-0.059800000000000006
2022-08,-0.0032
2022-09,0.023
2022-10,0.005600000000000001
2022-11,0.0394
2022-12,-0.0055000000000000005
2023-01,-0.0037
2023-02,0.0315
2023-03,0.0123
2023-04,0.0377
2023-05,-0.056100000000000004
2023-06,0.0695
2023-07,0.2102
2023-08,0.062400000000000004
2023-09,-0.0542
2023-10,-0.0158
2023-11,0.0025
2023-12,0.11689999999999999
2024-01,0.0676
2024-02,-0.027999999999999997
2024-03,0.0064
2024-04,0.1949
2024-05,0.08130000000000001
2024-06,0.0233
2024-07,0.0661
2024-08,0.11939999999999999
2024-09,-0.0934
2024-10,-0.028999999999999998
2024-11,0.1866
2024-12,0.10490000000000001
2025-01,0.0681
2025-02,-0.0092
2025-03,-0.0036
2025-04,-0.0584
2025-05,0.1341
2025-06,0.043
2025-07,0.06849999999999999
2025-08,0.0621
2025-09,0.1184
2025-10,-0.032400000000000005
2025-11,0.0182
2025-12,0.0002
2026-01,-0.0308
2026-02,-0.0478
2026-03,0.020099999999999996
2026-04,0.028300000000000002
2026-05,0.0592
2026-06,0.054299999999999994
