Period,Return
2018-07,-0.0116
2018-08,0.0301
2018-09,-0.0079
2018-10,-0.0383
2018-11,-0.0134
2018-12,0.018799999999999997
2019-01,-0.029300000000000003
2019-02,-0.0045000000000000005
2019-03,0.0437
2019-04,0.016
2019-05,0.0141
2019-06,0.0216
2019-07,0.030600000000000002
2019-08,0.078
2019-09,-0.061500000000000006
2019-10,-0.0368
2019-11,0.0027
2019-12,0.0044
2020-01,0.0059
2020-02,-0.004699999999999999
2020-03,0.0481
2020-04,-0.02
2020-05,-0.0182
2020-06,-0.011699999999999999
2020-07,0.014499999999999999
2020-08,0.0026
2020-09,-0.024700000000000003
2020-10,-0.0104
2020-11,0.0265
2020-12,0.055099999999999996
2021-01,0.004
2021-02,0.038900000000000004
2021-03,0.0123
2021-04,0.0275
2021-05,0.016200000000000003
2021-06,-0.013300000000000001
2021-07,0.0048
2021-08,0.0011
2021-09,0.0069
2021-10,0.0321
2021-11,-0.055999999999999994
2021-12,0.0076
2022-01,0.0167
2022-02,0.0332
2022-03,0.0728
2022-04,0.04650000000000001
2022-05,-0.0042
2022-06,0.0111
2022-07,-0.047599999999999996
2022-08,0.0377
2022-09,0.0565
2022-10,-0.015300000000000001
2022-11,-0.042
2022-12,0.0085
2023-01,-0.0113
2023-02,0.0083
2023-03,-0.032
2023-04,0.019799999999999998
2023-05,0.016200000000000003
2023-06,0.0379
2023-07,-0.0025
2023-08,-0.0051
2023-09,0.025099999999999997
2023-10,0.0059
2023-11,-0.0282
2023-12,-0.006500000000000001
2024-01,0.018500000000000003
2024-02,0.0374
2024-03,0.0277
2024-04,0.025099999999999997
2024-05,-0.0063
2024-06,-0.018000000000000002
2024-07,-0.0199
2024-08,-0.0321
2024-09,0.0019
2024-10,-0.0368
2024-11,0.013000000000000001
2024-12,0.019
2025-01,0.0003
2025-02,-0.04019999999999999
2025-03,0.0021
2025-04,-0.04019999999999999
2025-05,-0.0208
2025-06,0.0182
2025-07,-0.005699999999999999
2025-08,0.024700000000000003
2025-09,0.0395
2025-10,0.0012
2025-11,0.015600000000000001
2025-12,0.0278
2026-01,0.0366
2026-02,0.0262
2026-03,-0.0118
2026-04,0.0225
