Period,Return
2015-02,-0.0011
2015-03,0.0536
2015-04,-0.010700000000000001
2015-05,0.0337
2015-06,0.0908
2015-07,0.0393
2015-08,0.022099999999999998
2015-09,-0.0025
2015-10,0.0002
2015-11,0.0104
2015-12,0.0039000000000000003
2016-01,0.0125
2016-02,0.0215
2016-03,-0.0002
2016-04,0.0037
2016-05,-0.0013
2016-06,0.0087
2016-07,0.0059
2016-08,0.0014000000000000002
2016-09,-0.0059
2016-10,0.0007000000000000001
2016-11,0.0014000000000000002
2016-12,-0.0069
2017-01,-0.0037
2017-02,0.0013
2017-03,-0.0034000000000000002
2017-04,0.006999999999999999
2017-05,0.0027
2017-06,0.0034999999999999996
2017-07,0.0127
2017-08,0.023
2017-09,0.0195
2017-10,0.009399999999999999
2017-11,0.002
2017-12,-0.0029
2018-01,-0.0001
2018-02,-0.0028000000000000004
2018-03,0.0191
2018-04,-0.011899999999999999
2018-05,0.0124
2018-06,0.0178
2018-07,0.0127
2018-08,0.0070999999999999995
2018-09,0.006
2018-10,0.018600000000000002
2018-11,0.0132
2018-12,0.0008
2019-01,0.0040999999999999995
2019-02,0.0207
2019-03,0.040999999999999995
2019-04,0.0378
2019-05,0.0095
2019-06,0.013000000000000001
2019-07,0.0116
2019-08,0.0104
2019-09,0.0115
2019-10,0.0031
2019-11,-0.0229
2019-12,-0.011000000000000001
2020-01,-0.0022
2020-02,0.0034999999999999996
2020-03,0.0015
2020-04,0.016
2020-05,0.0007000000000000001
2020-06,0.0126
2020-07,0.024700000000000003
2020-08,0.0361
2020-09,-0.0016
2020-10,0.030899999999999997
2020-11,-0.0098
2020-12,0.0109
2021-01,-0.0053
2021-02,-0.0017000000000000001
2021-03,0.002
2021-04,-0.0021
2021-05,0.0058
2021-06,0.027999999999999997
2021-07,0.030600000000000002
2021-08,0.0015
2021-09,0.022400000000000003
2021-10,-0.0139
2021-11,0.0102
2021-12,-0.019
2022-01,0.0025
2022-02,0.0176
2022-03,0.0339
2022-04,-0.0004
2022-05,0.027200000000000002
2022-06,0.0222
2022-07,0.022099999999999998
2022-08,-0.0242
2022-09,-0.0129
2022-10,-0.0073
2022-11,0.003
2022-12,0.0179
2023-01,-0.009399999999999999
2023-02,0.011200000000000002
2023-03,0.034300000000000004
2023-04,0.04650000000000001
2023-05,0.0161
2023-06,0.0259
2023-07,-0.0088
2023-08,0.0131
2023-09,0.0048
2023-10,0.0068000000000000005
2023-11,0.0216
2023-12,-0.0085
2024-01,0.0106
2024-02,-0.0121
2024-03,0.024399999999999998
2024-04,-0.025099999999999997
2024-05,0.0172
2024-06,0.0062
2024-07,0.013999999999999999
2024-08,-0.0016
2024-09,-0.0287
2024-10,0.0388
2024-11,0.0313
2024-12,0.0027
2025-01,0.0067
2025-02,0.0172
2025-03,0.0196
2025-04,0.015
2025-05,0.0131
2025-06,-0.0002
2025-07,0.0067
2025-08,-0.0069
2025-09,-0.0141
2025-10,0.031400000000000004
2025-11,0.0154
2025-12,-0.0108
2026-01,-0.0259
2026-02,0.0165
2026-03,0.0134
2026-04,-0.0254
