,CAGR,Std,Proxy Sharpe,MDD,Calmar,Pos Months,Up Capture,Down Capture,Alpha (t-stat),Beta,Corr SP500,N Months
Quant Vol,21.50%,8.46%,2.36,-9.18%,2.34,78.6%,0.51,-0.36,18.82% (9.26),0.09,0.17,215
Crypto Carry,18.37%,5.43%,3.16,-0.77%,23.91,92.5%,0.43,-0.41,15.81% (4.79),0.06,0.15,40
Quant FX,34.62%,18.63%,1.70,-26.03%,1.33,69.6%,0.68,-0.75,34.33% (5.44),-0.17,-0.14,112
Chinese MN,20.55%,13.63%,1.45,-10.84%,1.90,65.2%,0.39,-0.60,20.53% (4.86),-0.06,-0.06,135
Equity Trading,19.54%,16.97%,1.14,-15.68%,1.25,59.6%,0.55,-0.16,18.44% (2.19),0.07,0.07,52
Futures Arb,18.18%,8.86%,1.94,-4.78%,3.80,71.2%,0.48,-0.16,15.35% (3.80),0.13,0.24,59
Distr Debt,25.85%,11.81%,2.02,-8.74%,2.96,78.1%,0.68,-0.03,20.12% (4.08),0.19,0.26,73
Syst Multi Asset,47.17%,6.69%,5.90,-0.63%,74.87,96.9%,0.80,-1.00,40.02% (13.31),-0.04,-0.08,65
Quant Indian,24.90%,7.36%,3.09,-2.20%,11.33,84.4%,0.44,-0.62,24.14% (7.39),-0.10,-0.20,64
Biotech,34.92%,15.60%,2.02,-10.63%,3.28,74.4%,0.88,-0.18,26.38% (4.60),0.31,0.34,86
